Drug1	Drug2
DB00668	DB00310
DB00668	DB00575
DB00668	DB00363
DB00668	DB01396
DB00668	DB00390
DB00668	DB00450
DB00668	DB00903
DB00668	DB00695
DB00668	DB01067
DB00668	DB01016
DB00668	DB00999
DB00668	DB00808
DB00668	DB00951
DB00668	DB00579
DB00668	DB00277
DB00668	DB00679
DB00668	DB00839
DB00668	DB01124
DB00668	DB00214
DB00668	DB00384
DB00668	DB00508
DB00668	DB00726
DB00668	DB00197
DB00668	DB01403
DB00668	DB00235
DB00668	DB00929
DB00668	DB00734
DB00668	DB00524
DB00668	DB01203
DB00668	DB00421
DB00668	DB00334
DB00668	DB01325
DB00668	DB01168
DB00668	DB00433
DB00668	DB00850
DB00668	DB00960
DB00668	DB00633
DB00668	DB00727
DB00668	DB00883
DB00668	DB00880
DB00668	DB01159
DB00668	DB00228
DB00668	DB00753
DB00668	DB01189
DB00668	DB01236
DB00668	DB01100
DB00668	DB06144
DB00668	DB00370
DB00668	DB00222
DB00668	DB00912
DB00668	DB04830
DB00668	DB00412
DB00668	DB00226
DB00668	DB00491
DB00668	DB01020
DB00668	DB00436
DB00668	DB00562
DB00668	DB00774
DB00668	DB00232
DB00668	DB01324
DB00668	DB01021
DB00668	DB00353
DB00668	DB00429
DB00668	DB00901
DB00668	DB00816
DB00668	DB00494
DB00668	DB01239
DB00668	DB00472
DB00668	DB00601
DB00668	DB00814
DB00668	DB00875
DB00668	DB00731
DB00668	DB00700
DB00668	DB01238
DB00668	DB00476
DB00668	DB00391
DB00668	DB00872
DB00668	DB01078
DB00668	DB00606
DB00668	DB06262
DB00668	DB01160
DB00668	DB01608
DB00668	DB01120
DB00668	DB02925
DB00668	DB04878
DB00668	DB00346
DB00668	DB01252
DB00668	DB00561
DB00668	DB00484
DB00668	DB01001
DB00668	DB01505
DB00668	DB02383
DB00668	DB00408
DB00668	DB00449
DB00668	DB00867
DB00668	DB01104
DB00668	DB00715
DB00668	DB04831
DB00668	DB01251
DB00668	DB01171
DB00668	DB00934
DB00668	DB06700
DB00668	DB00289
DB00668	DB06594
DB00668	DB04818
DB00668	DB01247
DB00668	DB01614
DB00668	DB04842
DB00668	DB00933
DB00668	DB01118
DB00668	DB01200
DB00668	DB00047
DB00668	DB00184
DB00668	DB00841
DB00668	DB01546
DB00668	DB01276
DB00668	DB00629
DB00668	DB01306
DB00668	DB00046
DB00668	DB01307
DB00668	DB01309
DB00668	DB00221
DB00668	DB00331
DB00668	DB00422
DB00668	DB01267
DB00668	DB01278
DB00668	DB00938
DB00668	DB06655
DB00668	DB00511
DB00668	DB02959
DB00668	DB08807
DB00668	DB08808
DB00668	DB01156
DB00668	DB00215
DB00668	DB00968
DB00668	DB06711
DB00668	DB01621
DB00668	DB00420
DB00668	DB01622
DB00668	DB05039
DB00668	DB06684
DB01638	DB01117
DB00936	DB00741
DB00936	DB00284
DB00936	DB00414
DB00936	DB00443
DB00936	DB00672
DB00936	DB01234
DB00936	DB00695
DB00936	DB01016
DB00936	DB01124
DB00936	DB00214
DB00936	DB00620
DB00936	DB00959
DB00936	DB00860
DB00936	DB01032
DB00936	DB00977
DB00936	DB00222
DB00936	DB00912
DB00936	DB00491
DB00936	DB00814
DB00936	DB01380
DB00936	DB00731
DB00936	DB01120
DB00936	DB02925
DB00936	DB04878
DB00936	DB01252
DB00936	DB00047
DB00936	DB01276
DB00936	DB01306
DB00936	DB00046
DB00936	DB01307
DB00936	DB01309
DB01744	DB03255
DB00067	DB00531
DB00446	DB00599
DB00446	DB01354
DB00446	DB00502
DB00446	DB00563
DB00446	DB00091
DB00446	DB01045
DB00446	DB00316
DB00446	DB00414
DB00446	DB01222
DB00446	DB00672
DB00446	DB00363
DB00446	DB00531
DB00446	DB00390
DB00446	DB00813
DB00446	DB01067
DB00446	DB01016
DB00446	DB00839
DB00446	DB01124
DB00446	DB00418
DB00446	DB00794
DB00446	DB00312
DB00446	DB01174
DB00446	DB00252
DB00446	DB00683
DB00446	DB01351
DB00446	DB00370
DB00446	DB01394
DB00446	DB00222
DB00446	DB00912
DB00446	DB00185
DB00446	DB01352
DB00446	DB00849
