Drug1	Drug2
DB00769	DB00070
DB00070	DB00783
DB00783	DB00070
DB00070	DB00835
DB00835	DB00070
DB00070	DB00838
DB00838	DB00070
DB00846	DB00070
DB00070	DB00846
DB00860	DB00070
DB00070	DB00860
DB00070	DB00896
DB00896	DB00070
DB00070	DB00945
DB00945	DB00070
DB00950	DB00070
DB00070	DB00950
DB00959	DB00070
DB00070	DB00959
DB00961	DB00070
DB00070	DB00961
DB00070	DB00967
DB00967	DB00070
DB00972	DB00070
DB00070	DB00972
DB00985	DB00070
DB00070	DB00985
DB00988	DB00070
DB00070	DB00988
DB01013	DB00070
DB00070	DB01013
DB01047	DB00070
DB00070	DB01047
DB00070	DB01075
DB01075	DB00070
DB01106	DB00070
DB00070	DB01106
DB01114	DB00070
DB00070	DB01114
DB00070	DB01130
DB01130	DB00070
DB01161	DB00070
DB00070	DB01161
DB00070	DB01176
DB01176	DB00070
DB00070	DB01222
DB01222	DB00070
DB00070	DB01234
DB01234	DB00070
DB00070	DB01285
DB01285	DB00070
DB00070	DB01294
DB01294	DB00070
DB00070	DB01364
DB01364	DB00070
DB01380	DB00070
DB00070	DB01380
DB00070	DB01397
DB01397	DB00070
DB01398	DB00070
DB00070	DB01398
DB01399	DB00070
DB00070	DB01399
DB04574	DB00070
DB00070	DB04574
DB00070	DB06153
DB06153	DB00070
DB06282	DB00070
DB00070	DB06282
DB06781	DB00070
DB00070	DB06781
DB00070	DB06786
DB06786	DB00070
DB00070	DB08906
DB08906	DB00070
DB00070	DB09085
DB09085	DB00070
DB09547	DB00070
DB00070	DB09547
DB09555	DB00070
DB00070	DB09555
DB00072	DB00073
DB00073	DB00072
DB00074	DB00072
DB00072	DB00074
DB00078	DB00072
DB00072	DB00078
DB00081	DB00072
DB00072	DB00081
DB00072	DB00087
DB00087	DB00072
DB00072	DB00091
DB00091	DB00072
DB00072	DB00098
DB00098	DB00072
DB00072	DB00108
DB00108	DB00072
DB00072	DB00120
DB00120	DB00072
DB00242	DB00072
DB00072	DB00242
DB00262	DB00072
DB00072	DB00262
DB00072	DB00276
DB00276	DB00072
DB00072	DB00290
DB00290	DB00072
DB00072	DB00291
DB00291	DB00072
DB00072	DB00305
DB00305	DB00072
DB00072	DB00309
DB00309	DB00072
DB00072	DB00322
DB00322	DB00072
DB00352	DB00072
DB00072	DB00352
DB00072	DB00361
DB00361	DB00072
DB00072	DB00398
DB00398	DB00072
DB00428	DB00072
DB00072	DB00428
DB00441	DB00072
DB00072	DB00441
DB00072	DB00443
DB00443	DB00072
DB00444	DB00072
DB00072	DB00444
DB00445	DB00072
DB00072	DB00445
DB00072	DB00480
DB00480	DB00072
DB00072	DB00488
DB00488	DB00072
DB00072	DB00515
DB00515	DB00072
DB00072	DB00526
DB00526	DB00072
DB00531	DB00072
DB00072	DB00531
DB00541	DB00072
DB00072	DB00541
DB00072	DB00544
DB00544	DB00072
DB00072	DB00552
DB00552	DB00072
DB00072	DB00563
DB00563	DB00072
DB00072	DB00570
DB00570	DB00072
DB00619	DB00072
DB00072	DB00619
DB00620	DB00072
DB00072	DB00620
DB00631	DB00072
DB00072	DB00631
DB00635	DB00072
DB00072	DB00635
DB00642	DB00072
DB00072	DB00642
DB00072	DB00687
DB00687	DB00072
DB00688	DB00072
DB00072	DB00688
DB00072	DB00694
DB00694	DB00072
DB00072	DB00724
DB00724	DB00072
DB00741	DB00072
DB00072	DB00741
DB00755	DB00072
DB00072	DB00755
DB00072	DB00762
DB00762	DB00072
DB00773	DB00072
DB00072	DB00773
DB00851	DB00072
DB00072	DB00851
DB00072	DB00853
DB00853	DB00072
DB00860	DB00072
DB00072	DB00860
DB00072	DB00864
DB00864	DB00072
DB00072	DB00877
DB00877	DB00072
DB00072	DB00888
DB00888	DB00072
DB00072	DB00928
DB00928	DB00072
DB00072	DB00958
DB00958	DB00072
DB00959	DB00072
DB00072	DB00959
DB00970	DB00072
DB00072	DB00970
DB00072	DB00987
DB00987	DB00072
DB00993	DB00072
DB00072	DB00993
DB00997	DB00072
DB00072	DB00997
DB01005	DB00072
DB00072	DB01005
DB01008	DB00072
DB00072	DB01008
DB00072	DB01024
DB01024	DB00072
DB01030	DB00072
DB00072	DB01030
DB01033	DB00072
DB00072	DB01033
DB01041	DB00072
DB00072	DB01041
DB01042	DB00072
DB00072	DB01042
DB01073	DB00072
DB00072	DB01073
DB00072	DB01097
DB01097	DB00072
DB01101	DB00072
DB00072	DB01101
DB01168	DB00072
DB00072	DB01168
DB00072	DB01177
DB01177	DB00072
DB00072	DB01181
DB01181	DB00072
DB00072	DB01196
DB01196	DB00072
DB00072	DB01204
DB01204	DB00072
DB01206	DB00072
DB00072	DB01206
DB01222	DB00072
DB00072	DB01222
DB00072	DB01229
DB01229	DB00072
DB00072	DB01234
DB01234	DB00072
DB00072	DB01248
DB01248	DB00072
DB00072	DB01254
DB01254	DB00072
DB01257	DB00072
DB00072	DB01257
DB01268	DB00072
DB00072	DB01268
DB01280	DB00072
DB00072	DB01280
DB01281	DB00072
DB00072	DB01281
DB01285	DB00072
DB00072	DB01285
DB00072	DB01380
DB01380	DB00072
DB01590	DB00072
DB00072	DB01590
DB04572	DB00072
DB00072	DB04572
DB00072	DB04868
DB04868	DB00072
DB00072	DB05109
DB05109	DB00072
DB00072	DB05259
DB05259	DB00072
DB00072	DB05679
DB05679	DB00072
DB00072	DB05773
DB05773	DB00072
DB00072	DB06168
DB06168	DB00072
DB06273	DB00072
DB00072	DB06273
DB00072	DB06287
DB06287	DB00072
DB00072	DB06372
DB06372	DB00072
DB00072	DB06589
DB06589	DB00072
DB06603	DB00072
DB00072	DB06603
DB06674	DB00072
DB00072	DB06674
DB00072	DB06681
DB06681	DB00072
DB00072	DB06772
DB06772	DB00072
DB00072	DB06813
DB06813	DB00072
DB00072	DB08868
DB08868	DB00072
DB08870	DB00072
DB00072	DB08870
DB08877	DB00072
DB00072	DB08877
DB08879	DB00072
DB00072	DB08879
DB08880	DB00072
DB00072	DB08880
DB00072	DB08895
DB08895	DB00072
DB08904	DB00072
DB00072	DB08904
DB08910	DB00072
DB00072	DB08910
DB08935	DB00072
DB00072	DB08935
DB09029	DB00072
DB00072	DB09029
DB00072	DB09033
DB09033	DB00072
DB09036	DB00072
DB00072	DB09036
DB09052	DB00072
DB00072	DB09052
DB00072	DB09053
